% The delimiter between text and number for the following 3 lines is colon.					
% Comments start with %					
% Regular expression currently is disabled					
% Empty well should have a conc of -1					
% Authors: Ce Gao					
% Created: 2013-05-30					
% Revised:					
% Toolbox: microplate_parser v1					
%					
Wells: 60					
Layouts: 2					
TimePoints: 10					
Layout	Well	ControlStatus	Gene	Pathway	Concentration
1	A01	NA	NA	NA	-1
1	A02	media	NA	NA	0
1	A03	media	NA	NA	0
1	A04	media	NA	NA	0
1	A05	sample	aaaA	aaa	0
1	A06	sample	aaaB	aaa	0
1	A07	sample	aaaC	aaa	0
1	A08	sample	dddE	ddd	0
1	A09	sample	dddF	ddd	0
1	A10	sample	dddG	ddd	0
1	A11	sample	hhhI	hhh	0
1	A12	sample	hhhJ	hhh	0
1	A13	sample	hhhK	hhh	0
1	A14	gfpminus	U100	NA	0
1	A15	gfpminus	U100	NA	0
1	A16	gfpminus	U100	NA	0
1	A17	housekeeping	house1	housekeeping	0
1	A18	housekeeping	house2	housekeeping	0
1	A19	housekeeping	house3	housekeeping	0
1	A20	NA	NA	NA	-1
1	B01	NA	NA	NA	-1
1	B02	media	NA	NA	1
1	B03	media	NA	NA	1
1	B04	media	NA	NA	1
1	B05	sample	aaaA	aaa	1
1	B06	sample	aaaB	aaa	1
1	B07	sample	aaaC	aaa	1
1	B08	sample	dddE	ddd	1
1	B09	sample	dddF	ddd	1
1	B10	sample	dddG	ddd	1
1	B11	sample	hhhI	hhh	1
1	B12	sample	hhhJ	hhh	1
1	B13	sample	hhhK	hhh	1
1	B14	gfpminus	U100	NA	1
1	B15	gfpminus	U100	NA	1
1	B16	gfpminus	U100	NA	1
1	B17	housekeeping	house1	housekeeping	1
1	B18	housekeeping	house2	housekeeping	1
1	B19	housekeeping	house3	housekeeping	1
1	B20	NA	NA	NA	-1
1	C01	NA	NA	NA	-1
1	C02	media	NA	NA	2
1	C03	media	NA	NA	2
1	C04	media	NA	NA	2
1	C05	sample	aaaA	aaa	2
1	C06	sample	aaaB	aaa	2
1	C07	sample	aaaC	aaa	2
1	C08	sample	dddE	ddd	2
1	C09	sample	dddF	ddd	2
1	C10	sample	dddG	ddd	2
1	C11	sample	hhhI	hhh	2
1	C12	sample	hhhJ	hhh	2
1	C13	sample	hhhK	hhh	2
1	C14	gfpminus	U100	NA	2
1	C15	gfpminus	U100	NA	2
1	C16	gfpminus	U100	NA	2
1	C17	housekeeping	house1	housekeeping	2
1	C18	housekeeping	house2	housekeeping	2
1	C19	housekeeping	house3	housekeeping	2
1	C20	NA	NA	NA	-1
2	A01	NA	NA	NA	-1
2	A02	media	NA	NA	0
2	A03	media	NA	NA	0
2	A04	media	NA	NA	0
2	A05	sample	lllM	lll	0
2	A06	sample	lllN	lll	0
2	A07	sample	lllO	lll	0
2	A08	sample	pppQ	ppp	0
2	A09	sample	pppR	ppp	0
2	A10	sample	pppS	ppp	0
2	A11	sample	tttU	ttt	0
2	A12	sample	tttV	ttt	0
2	A13	sample	tttW	ttt	0
2	A14	gfpminus	U100	NA	0
2	A15	gfpminus	U100	NA	0
2	A16	gfpminus	U100	NA	0
2	A17	housekeeping	house1	housekeeping	0
2	A18	housekeeping	house2	housekeeping	0
2	A19	housekeeping	house3	housekeeping	0
2	A20	NA	NA	NA	-1
2	B01	NA	NA	NA	-1
2	B02	media	NA	NA	1
2	B03	media	NA	NA	1
2	B04	media	NA	NA	1
2	B05	sample	lllM	lll	1
2	B06	sample	lllN	lll	1
2	B07	sample	lllO	lll	1
2	B08	sample	pppQ	ppp	1
2	B09	sample	pppR	ppp	1
2	B10	sample	pppS	ppp	1
2	B11	sample	tttU	ttt	1
2	B12	sample	tttV	ttt	1
2	B13	sample	tttW	ttt	1
2	B14	gfpminus	U100	NA	1
2	B15	gfpminus	U100	NA	1
2	B16	gfpminus	U100	NA	1
2	B17	housekeeping	house1	housekeeping	1
2	B18	housekeeping	house2	housekeeping	1
2	B19	housekeeping	house3	housekeeping	1
2	B20	NA	NA	NA	-1
2	C01	NA	NA	NA	-1
2	C02	media	NA	NA	2
2	C03	media	NA	NA	2
2	C04	media	NA	NA	2
2	C05	sample	lllM	lll	2
2	C06	sample	lllN	lll	2
2	C07	sample	lllO	lll	2
2	C08	sample	pppQ	ppp	2
2	C09	sample	pppR	ppp	2
2	C10	sample	pppS	ppp	2
2	C11	sample	tttU	ttt	2
2	C12	sample	tttV	ttt	2
2	C13	sample	tttW	ttt	2
2	C14	gfpminus	U100	NA	2
2	C15	gfpminus	U100	NA	2
2	C16	gfpminus	U100	NA	2
2	C17	housekeeping	house1	housekeeping	2
2	C18	housekeeping	house2	housekeeping	2
2	C19	housekeeping	house3	housekeeping	2
2	C20	NA	NA	NA	-1
